industria_clean,sugerencia_top,score_top,cand_1,score_1,cand_2,score_2,cand_3,score_3,cand_4,score_4,cand_5,score_5
servicio de gestion,,,Servicios Profesionales,61.904761904761905,Servicios Públicos,54.054054054054056,"Sanidad, Bienestar y Ejercicio",44.89795918367347,Consultoría de Gestión,43.90243902439025,Servicios y Tecnologías de la Información,43.333333333333336
servicio de impresion,,,Servicios Profesionales,63.63636363636363,Servicios Públicos,51.282051282051285,Servicios y Tecnologías de la Información,45.16129032258065,Dispositivos Médicos,43.90243902439025,Logística y Cadena de Suministro,41.509433962264154
servicio de logistica,,,Servicios Públicos,56.41025641025641,Servicios Profesionales,54.54545454545455,Logística y Cadena de Suministro,52.83018867924528,Consultoría de Gestión,46.51162790697674,Banca de Inversión,46.15384615384615
servicio de prestamos,,,Servicios Profesionales,59.09090909090909,Servicios Públicos,51.282051282051285,"Sanidad, Bienestar y Ejercicio",47.05882352941177,Dispositivos Médicos,43.90243902439025,Servicios y Tecnologías de la Información,41.935483870967744
servicio de seguridad,,,Servicios Profesionales,54.54545454545455,Consultoría de Gestión,46.51162790697674,Servicios Públicos,46.15384615384615,Reaseguros,45.16129032258065,Servicios y Tecnologías de la Información,41.935483870967744
servicio de transporte,,,Desarrollo de Software,50.0,Servicios Públicos,45.0,Servicios Profesionales,44.44444444444444,"Sanidad, Bienestar y Ejercicio",42.30769230769231,Servicios y Tecnologías de la Información,41.26984126984127
servicio de transporte aereo de pasajeros,,,Servicios Profesionales,52.459016393442624,Desarrollo de Software,46.666666666666664,"Sanidad, Bienestar y Ejercicio",44.11764705882353,Servicios y Tecnologías de la Información,40.50632911392405,Logística y Cadena de Suministro,40.0
servicio de transporte automotor de cargas n c p,,,Servicios y Tecnologías de la Información,41.86046511627907,Servicios Profesionales,38.23529411764706,Banca de Inversión,38.095238095238095,Logística y Cadena de Suministro,36.36363636363637,Consultoría de Gestión,35.82089552238806
servicio de transporte automotor urbano de carga n c p,,,Servicios y Tecnologías de la Información,43.47826086956522,Logística y Cadena de Suministro,36.144578313253014,Consultoría de Gestión,35.61643835616438,Servicios Profesionales,35.13513513513513,Banca de Inversión,34.78260869565217
servicio de transporte automotor urbano y suburbano regular de pasajeros,,,Servicios y Tecnologías de la Información,41.81818181818182,Logística y Cadena de Suministro,37.62376237623762,"Sanidad, Bienestar y Ejercicio",36.36363636363637,Desarrollo de Software,32.967032967032964,Servicios Profesionales,32.60869565217391
servicio de transporte ferroviario de cargas,,,Desarrollo de Software,44.44444444444444,Servicios y Tecnologías de la Información,43.90243902439025,Servicios Profesionales,43.75,Logística y Cadena de Suministro,41.0958904109589,"Sanidad, Bienestar y Ejercicio",39.436619718309856
servicio de transporte fluvial y lacustre de carga,,,Servicios y Tecnologías de la Información,43.18181818181818,Logística y Cadena de Suministro,43.037974683544306,Servicios Profesionales,42.857142857142854,"Sanidad, Bienestar y Ejercicio",41.55844155844156,Servicios Públicos,40.0
servicio de transporte maritimo de carga,,,Servicios y Tecnologías de la Información,46.15384615384615,Desarrollo de Software,44.067796610169495,Servicios Profesionales,43.333333333333336,Logística y Cadena de Suministro,40.57971014492754,Productos Farmacéuticos,40.0
servicio de transporte por oleoductos,,,Servicios Públicos,47.27272727272727,Servicios Profesionales,46.666666666666664,Desarrollo de Software,44.067796610169495,"Sanidad, Bienestar y Ejercicio",41.791044776119406,Servicios y Tecnologías de la Información,41.02564102564103
servicio financiero,,,Servicios Profesionales,61.904761904761905,Servicios Públicos,59.45945945945946,"Sanidad, Bienestar y Ejercicio",44.89795918367347,Educación Superior,43.24324324324324,Servicios y Tecnologías de la Información,40.0
servicio funerarios,,,Servicios Profesionales,61.904761904761905,Servicios Públicos,59.45945945945946,"Sanidad, Bienestar y Ejercicio",44.89795918367347,Educación Superior,43.24324324324324,Productos Farmacéuticos,42.857142857142854
servicio publico,,,Servicios Públicos,76.47058823529412,Servicios Profesionales,51.282051282051285,Educación Superior,41.1764705882353,Telecomunicaciones,41.1764705882353,Productos Farmacéuticos,41.02564102564103
servicio publico y gubernamental,,,Servicios Públicos,52.0,Servicios Profesionales,47.27272727272727,"Sanidad, Bienestar y Ejercicio",45.16129032258065,Marketing y Publicidad,44.44444444444444,Logística y Cadena de Suministro,40.625
servicio publicos,,,Servicios Públicos,80.0,Servicios Profesionales,55.0,Productos Farmacéuticos,45.0,Dispositivos Médicos,43.24324324324324,Educación Superior,40.0
servicios,,,Servicios Públicos,66.66666666666666,Servicios Profesionales,56.25,Reaseguros,52.63157894736842,Seguros,50.0,Telecomunicaciones,44.44444444444444
servicios administrativos y de asistencia,,,Servicios Profesionales,50.0,Logística y Cadena de Suministro,49.31506849315068,Servicios y Tecnologías de la Información,46.34146341463415,Dispositivos Médicos,42.622950819672134,"Sanidad, Bienestar y Ejercicio",42.25352112676056
servicios administrativos y de soporte,,,Servicios y Tecnologías de la Información,53.164556962025316,Logística y Cadena de Suministro,45.714285714285715,Dispositivos Médicos,44.827586206896555,"Sanidad, Bienestar y Ejercicio",44.11764705882353,Servicios Públicos,42.857142857142854
servicios al consumidor,,,Servicios Públicos,63.41463414634146,Servicios Profesionales,56.52173913043478,Telecomunicaciones,43.90243902439025,Productos Farmacéuticos,43.47826086956522,Dispositivos Médicos,41.86046511627907
servicios al individuo y la familia,,,Servicios y Tecnologías de la Información,50.0,Servicios Públicos,45.283018867924525,Servicios Profesionales,44.827586206896555,Envases y Embalajes,44.44444444444444,Logística y Cadena de Suministro,38.80597014925373
servicios alimentarios,,,Servicios Públicos,65.0,Servicios Profesionales,57.77777777777778,"Sanidad, Bienestar y Ejercicio",50.0,Productos Farmacéuticos,48.888888888888886,Dispositivos Médicos,47.61904761904762
servicios compartidos,,,Servicios Públicos,61.53846153846154,Servicios Profesionales,59.09090909090909,Productos Farmacéuticos,50.0,Dispositivos Médicos,48.78048780487805,Servicios y Tecnologías de la Información,41.935483870967744
servicios complementarios para el transporte maritimo n c p,,,Servicios Profesionales,39.02439024390244,Servicios y Tecnologías de la Información,38.0,"Sanidad, Bienestar y Ejercicio",35.95505617977528,Logística y Cadena de Suministro,35.16483516483517,Consultoría de Gestión,34.5679012345679
servicios corporativos y legales,,,Servicios Profesionales,61.81818181818182,Servicios Públicos,48.0,Dispositivos Médicos,46.15384615384615,Servicios y Tecnologías de la Información,43.83561643835616,Envases y Embalajes,43.13725490196079
servicios de accesibilidad digital,,,Servicios Profesionales,49.12280701754386,Servicios Públicos,46.15384615384615,Logística y Cadena de Suministro,42.42424242424242,Servicios y Tecnologías de la Información,40.0,Banca de Inversión,38.46153846153846
servicios de agencias de cobro y calificacion crediticia,,,Logística y Cadena de Suministro,44.705882352941174,Servicios y Tecnologías de la Información,44.680851063829785,Servicios Profesionales,42.10526315789474,Hospitales y Atención Sanitaria,38.095238095238095,Servicios Públicos,36.61971830985915
servicios de agencias maritimas para el transporte de mercaderias,,,Servicios y Tecnologías de la Información,40.77669902912621,Logística y Cadena de Suministro,40.42553191489362,Servicios Profesionales,35.294117647058826,"Sanidad, Bienestar y Ejercicio",34.78260869565217,Hospitales y Atención Sanitaria,34.40860215053763
servicios de alimentacion colectiva,,,Servicios Profesionales,51.724137931034484,Servicios Públicos,49.056603773584904,Logística y Cadena de Suministro,47.76119402985075,Servicios y Tecnologías de la Información,44.73684210526316,Marketing y Publicidad,42.10526315789474
servicios de alimentos y bebida,,,Servicios Públicos,53.06122448979592,Servicios Profesionales,51.851851851851855,Logística y Cadena de Suministro,50.79365079365079,Servicios y Tecnologías de la Información,47.22222222222222,"Sanidad, Bienestar y Ejercicio",45.90163934426229
